Collection,Collection Title,Filename,Title,Composer,Difficulty,Stage,Price,Free
example,Example,violin/example/lightly-row.json,Lightly Row,Traditional,beginner,published,0.0,true
example,Example,violin/example/ode-to-joy.json,Ode to Joy,L. van Beethoven,beginner,published,0.0,true
example,Example,violin/example/twinkle.json,Twinkle Twinkle Little Star,Traditional,beginner,published,,true
bach-partita,Bach Partita,violin/bach-partita/allemande.json,Allemande,J.S. Bach,advanced,staging,,false
bach-partita,Bach Partita,violin/bach-partita/gavotte.json,Gavotte en Rondeau,J.S. Bach,advanced,staging,,false
bach-partita,Bach Partita,violin/bach-partita/gigue.json,Gigue,J.S. Bach,advanced,staging,,false
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/twinkle-twinkle-little-star.json,Twinkle Twinkle Little Star,Traditional,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/lightly-row.json,Lightly Row,Traditional,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/go-tell-aunt-rhody.json,Go Tell Aunt Rhody,Traditional,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/may-song.json,May Song,Traditional,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/song-of-the-wind.json,Song of the Wind,Traditional,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/long-long-ago.json,"Long, Long Ago",T.H. Bayly,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/o-come-little-children.json,"O Come, Little Children",J.A.P. Schulz,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/the-happy-farmer.json,The Happy Farmer,R. Schumann,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/minuet-no-1.json,Minuet I,J.S. Bach,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/minuet-no-2.json,Minuet II,J.S. Bach,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/minuet-no-3.json,Minuet III,J.S. Bach,beginner,published,0.0,true
first-folk-tunes,First Folk Tunes & Classics,violin/first-folk-tunes/gavotte.json,Gavotte,F.J. Gossec,beginner,published,0.0,true
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-01.json,Etude No. 1,H.E. Kayser,beginner,published,0,true
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-02.json,Etude No. 2,H.E. Kayser,beginner,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-03.json,Etude No. 3,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-04.json,Etude No. 4,H.E. Kayser,intermediate,staging,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-05.json,Etude No. 5,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-06.json,Etude No. 6,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-07.json,Etude No. 7,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-08.json,Etude No. 8,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-09.json,Etude No. 9,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-10.json,Etude No. 10,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-11.json,Etude No. 11,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-12.json,Etude No. 12,H.E. Kayser,intermediate,published,0.99,false
kayser-36-studies,Kayser 36 Studies,violin/kayser-36-studies/etude-13.json,Etude No. 13,H.E. Kayser,intermediate,staging,0.99,false
